start tesing cross product (m.T * m)
1,1,NumPy,33.13713073730469
1,1,MorpheusPy,164.04426097869873
2,1,NumPy,110.00256538391113
2,1,MorpheusPy,226.18224620819092
3,1,NumPy,251.28161907196045
3,1,MorpheusPy,344.9016571044922
4,1,NumPy,481.02662563323975
4,1,MorpheusPy,407.4666976928711
5,1,NumPy,831.9741249084473
5,1,MorpheusPy,532.6275587081909
1,5,NumPy,164.91892337799072
1,5,MorpheusPy,371.12343311309814
2,5,NumPy,549.6228456497192
2,5,MorpheusPy,459.6932888031006
3,5,NumPy,1255.675196647644
3,5,MorpheusPy,640.2618885040283
4,5,NumPy,2407.353377342224
4,5,MorpheusPy,731.9125175476074
5,5,NumPy,4096.185660362244
5,5,MorpheusPy,915.9754991531372
1,10,NumPy,331.48770332336426
1,10,MorpheusPy,555.0437450408936
2,10,NumPy,1100.244688987732
2,10,MorpheusPy,647.0285177230835
3,10,NumPy,2512.3728036880493
3,10,MorpheusPy,826.2031555175781
4,10,NumPy,4812.412714958191
4,10,MorpheusPy,917.861270904541
5,10,NumPy,8194.213676452637
5,10,MorpheusPy,1105.86097240448
1,15,NumPy,495.43700218200684
1,15,MorpheusPy,738.7450695037842
2,15,NumPy,1647.2185850143433
2,15,MorpheusPy,831.2797784805298
3,15,NumPy,3770.9384202957153
3,15,MorpheusPy,1013.1328344345093
4,15,NumPy,7218.077206611633
4,15,MorpheusPy,1104.666781425476
5,15,NumPy,12273.4041929245
5,15,MorpheusPy,1279.3142557144165
1,20,NumPy,657.9552173614502
1,20,MorpheusPy,971.995997428894
2,20,NumPy,2198.362946510315
2,20,MorpheusPy,1057.1068286895752
3,20,NumPy,5019.117593765259
3,20,MorpheusPy,1238.3275032043457
4,20,NumPy,9620.399284362793
4,20,MorpheusPy,1332.7366352081299
5,20,NumPy,16390.371823310852
5,20,MorpheusPy,1514.7531032562256

